DepartamentoCodigo	DepartamentoNombre
0	CAPITAL                                 
1	CONCEPCION                              
2	SAN PEDRO                               
3	CORDILLERA                              
4	GUAIRA                                  
5	CAAGUAZU                                
6	CAAZAPA                                 
7	ITAPUA                                  
8	MISIONES                                
9	PARAGUARI                               
10	ALTO PARANA                             
11	CENTRAL                                 
12	ÑEEMBUCU                                
13	AMAMBAY                                 
14	CANINDEYU                               
15	PRESIDENTE HAYES                        
16	BOQUERÓN                                
17	ALTO PARAGUAY                           
