DepartamentoCodigo	MateriaCodigo	MateriaDescripcion	totalProfesores	conTituloCompatible	conTituloYFormacionCompatible
-1	1	ARTE ELEMENTAL                                    	1	0	0
-1	3	MADERA (TALLER)                                   	1	0	0
-1	4	COMUNICACION SOCIAL/MEDIOS DE COMUN. SOCIAL       	3	0	0
-1	5	HISTORIA Y GEOGRAFIA                              	3511	2483	2225
-1	6	PROYECTO EDUCATIVO/INSTITUCIONAL/ELABORACION      	3	1	1
-1	7	PROYECTO EDUCATIVO COMUNITARIO/PARTIC. COMUNITARIA	53	12	10
-1	8	ORTOGRAFIA                                        	2	0	0
-1	10	INVESTIGACION CIENTIF/SOCIAL/INICIACION/DIDACT/ACC	36	16	13
-1	12	RELIGION / CATEQUESIS/ ESTUDIO BIBLICO            	34	10	5
-1	13	CIENCIAS DE LA NATURALEZA Y SALUD                 	3121	1544	1443
-1	15	ACTIVIDAD DE REFUERZO                             	3	0	0
-1	16	ACONDICIONADOR DE AIRE                            	1	0	0
-1	19	EXPRESION MUSICAL O LENGUAJE MUSICAL              	1	0	0
-1	23	ADMINISTRACION FINANCIERA                         	257	16	8
-1	25	ADMINISTRACION RURAL                              	13	2	1
-1	27	EXPRESION PLASTICA (GRAFICA-VISUAL)               	1	0	0
-1	28	ADMINISTRACION DE EMPRESAS                        	634	546	326
-1	29	DANZA PARAGUAYA/DANZA Y SU DIDACTICA              	13	9	7
-1	30	ADMINISTRACION Y LEGISLACION                      	1	0	0
-1	31	ADMINISTRACION Y LEGISLACION LABORAL              	1	0	0
-1	34	PUERICULTURA                                      	1	0	0
-1	35	LEGISLACION Y ORGANIZ.DE LA EDUC.INICIAL          	2	1	1
-1	37	TRABAJO Y TECNOLOGIA                              	5	1	1
-1	38	EDUCACION/FORMACION ETICA Y CIUDADANA             	3452	2247	2027
-1	39	SOCIOLOGIA Y ANTROPOLOGIA CULTURAL                	879	151	116
-1	40	ADMINISTRACION Y VENTA                            	1	0	0
-1	41	ADMINISTRACION Y MANTENIMIENTO INDUSTRIAL         	1	0	0
-1	42	ADMINISTRACION Y LEGISLACION SANITARIA            	1	0	0
-1	44	AGRICULTURA                                       	6	4	2
-1	47	ALEMAN                                            	25	14	6
-1	48	TEATRO                                            	19	11	10
-1	49	ALGORITMIA/ALGORITMICA                            	339	231	84
-1	51	DISEÑO TECNICO                                    	1	0	0
-1	52	CALCULO MECANICO                                  	1	0	0
-1	56	ANATOMIA Y FISIOLOGIA                             	102	29	9
-1	57	ANTROPOLOGIA/ANTROPOLOGIA CULTURAL                	1	0	0
-1	58	APLICACION DE LA LOGICA DIGITAL                   	2	0	0
-1	60	ANALISIS DE ALIMENTOS                             	1	0	0
-1	66	ANALISIS INSTRUMENTAL                             	17	0	0
-1	67	ANALISIS INDUSTRIAL                               	12	0	0
-1	75	ARTES PLASTICAS/ARTES PLASTICAS Y SUS DIDACTICAS  	11	9	8
-1	83	AVICULTURA                                        	1	0	0
-1	84	CARTONERIA                                        	1	0	0
-1	92	FORMACION HUMANA                                  	1	1	1
-1	96	CONFITERIA                                        	1	0	0
-1	98	COSMOGRAFIA                                       	1	1	1
-1	102	SALUD (EDUC SANITARIA/EDUC P SALUD)               	178	41	32
