DepartamentoCodigo	DepartamentoNombre	DistritoCodigo	DistritoNombre	basicaIncompleta	basica	media	docente	docenteNoUniversitario	docenteYUniversitario	universitario	universitarioNoDocente	tecnico	tecnicaNoUniversitariaNoDocente	militarPolicial	militarNoTecnicaNoUniversitariaNoDocente	especializacionDocente	especializacionUniversitaria	especializacionTecnica	especializacionMilitarPolicial	especializacionOPostgrado	magister	doctorado	noEspecificado	compatibleEdMedia	noCompatibleEdMedia	habilitacionPedagogica
-1		-1		3	27426	27416	19391	12136	7255	14551	7296	1287	312	66	11	1485	1723	15	1	3326	311	78	46	21646	5826	14925
0	CAPITAL                                 	-1		1	3808	3808	2438	1207	1231	2496	1265	331	71	2	0	140	587	0	0	774	95	29	2	2773	1037	2036
0	CAPITAL                                 	0	CAPITAL             	1	3808	3808	2438	1207	1231	2496	1265	331	71	2	0	140	587	0	0	774	95	29	2	2773	1037	2036
1	CONCEPCION                              	-1		0	1105	1104	909	652	257	427	170	36	5	1	0	85	92	0	0	173	5	1	1	955	151	567
1	CONCEPCION                              	1	CONCEPCION          	0	544	543	420	266	154	264	110	20	2	1	0	39	67	0	0	105	5	1	1	457	88	281
1	CONCEPCION                              	2	BELEN               	0	124	124	105	85	20	37	17	3	0	0	0	3	7	0	0	10	0	0	0	111	13	62
1	CONCEPCION                              	3	HORQUETA            	0	298	298	269	200	69	93	24	6	2	0	0	30	19	0	0	47	0	0	0	269	29	146
1	CONCEPCION                              	4	LORETO              	0	128	128	113	90	23	37	14	1	0	0	0	2	3	0	0	5	0	0	0	120	8	60
1	CONCEPCION                              	5	SAN CARLOS          	0	4	4	4	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	1	2
1	CONCEPCION                              	6	SAN LAZARO          	0	41	41	32	25	7	12	5	4	1	0	0	1	3	0	0	4	0	0	0	32	9	19
1	CONCEPCION                              	7	YVY YA?U            	0	97	97	87	73	14	23	9	6	1	0	0	13	3	0	0	15	0	0	0	89	8	60
1	CONCEPCION                              	8	AZOTEY              	0	24	24	18	14	4	9	5	1	0	0	0	1	0	0	0	1	0	0	0	18	6	9
1	CONCEPCION                              	9	SGTO. JOSE FELIX LOP	0	10	10	8	5	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	9	1	4
2	SAN PEDRO                               	-1		0	2254	2254	1613	1078	535	1098	563	74	25	2	0	86	83	1	0	169	5	6	0	1728	526	1057
2	SAN PEDRO                               	1	SAN PEDRO DEL YKUAMA	0	168	168	126	75	51	93	42	1	0	0	0	14	8	0	0	23	1	1	0	139	29	103
2	SAN PEDRO                               	2	ANTEQUERA           	0	18	18	13	5	8	13	5	0	0	0	0	2	5	0	0	7	0	0	0	16	2	15
2	SAN PEDRO                               	3	CHORE               	0	252	252	189	153	36	83	47	13	2	0	0	8	4	0	0	11	0	0	0	202	50	126
2	SAN PEDRO                               	4	GENERAL ELIZARDO AQU	0	233	233	191	136	55	93	38	1	0	0	0	15	7	0	0	22	0	0	0	197	36	119
2	SAN PEDRO                               	5	ITACURUBI DEL ROSARI	0	125	125	82	46	36	65	29	6	5	0	0	6	1	0	0	7	0	0	0	93	32	75
2	SAN PEDRO                               	6	LIMA                	0	83	83	58	34	24	47	23	5	1	0	0	6	5	0	0	11	0	1	0	65	18	45
2	SAN PEDRO                               	7	NUEVA GERMANIA      	0	25	25	20	14	6	11	5	4	0	0	0	1	0	0	0	1	0	0	0	21	4	13
2	SAN PEDRO                               	8	SAN ESTANISLAO      	0	357	357	243	143	100	206	106	16	5	1	0	13	39	0	0	48	2	0	0	257	100	142
2	SAN PEDRO                               	9	SAN PABLO           	0	17	17	14	12	2	5	3	0	0	0	0	1	1	0	0	2	0	0	0	14	3	11
2	SAN PEDRO                               	10	TACUATI             	0	61	61	44	36	8	24	16	1	0	0	0	2	0	0	0	2	0	0	0	50	11	27
2	SAN PEDRO                               	11	UNION               	0	54	54	35	18	17	35	18	0	0	0	0	1	0	0	0	2	1	1	0	33	21	22
2	SAN PEDRO                               	12	25 DE DICIEMBRE     	0	91	91	69	43	26	47	21	1	0	0	0	2	3	0	0	5	0	0	0	80	11	58
2	SAN PEDRO                               	13	VILLA DEL ROSARIO   	0	100	100	67	43	24	55	31	1	0	0	0	0	3	0	0	3	0	0	0	74	26	49
2	SAN PEDRO                               	14	GENERAL RESQUIN     	0	102	102	67	54	13	44	31	6	3	0	0	6	0	0	0	8	1	1	0	70	32	39
2	SAN PEDRO                               	15	YATAITY DEL NORTE   	0	142	142	104	52	52	89	37	2	1	0	0	1	2	0	0	6	0	3	0	108	34	66
2	SAN PEDRO                               	16	GUAJAYVI            	0	219	219	149	104	45	109	64	4	2	0	0	2	5	1	0	8	0	0	0	162	57	88
2	SAN PEDRO                               	17	CAPIIBARY           	0	187	187	129	97	32	84	52	4	1	0	0	3	2	0	0	5	0	0	0	139	48	55
2	SAN PEDRO                               	18	SANTA ROSA DEL AGUAR	0	100	100	63	42	21	52	31	6	2	0	0	2	4	0	0	5	0	0	0	71	29	36
2	SAN PEDRO                               	19	YRYVU CUA           	0	63	63	52	30	22	32	10	2	0	0	0	2	1	0	0	2	0	0	0	50	13	24
2	SAN PEDRO                               	20	LIBERACION          	0	138	138	106	81	25	49	24	12	3	1	0	10	3	0	0	12	0	0	0	105	33	61
3	CORDILLERA                              	-1		0	1507	1507	1205	747	458	727	269	42	11	6	1	172	71	0	0	241	9	0	1	1267	241	793
